PORT,說明,測試指令
1521,Oracle資料庫的預設通訊埠，負責處理資料庫連接和查詢，讓應用程式能夠與Oracle資料庫進行可靠的通訊。,msf> use auxiliary/scanner/oracle/sid_enum
1723,PPTP（點對點隧道協定）的預設通訊埠，用於建立虛擬私人網路（VPN）連接，實現安全的遠端存取和通信。,thc-pptp-bruter -u <user> -w <字典檔> <ip>
3306,MySQL 資料庫服務預設使用的通訊埠，負責資料庫連線與資料查詢，常用於應用程式與後端系統存取資料庫。,mysql -h <IP> -u <login name> -p -P 3306
3389,"Windows遠端桌面（Remote Desktop Protocol, RDP）的預設通訊埠，允許遠端存取並控制主機。","1.nmap --script ssl-enum-ciphers -p 3389 <IP>
2.hydra -t 4 -L [帳號字典檔] -P [密碼字典檔] rdp://<目標IP>:3389
3.hydra -t 4 -l administrator -P [密碼字典檔] rdp://<目標IP>:3389"
5060,用於Session Initiation Protocol（SIP）通信的預設通訊埠，負責建立、修改和解除多媒體會話。,msf> use auxiliary/scanner/sip/option
5900,VNC是一種遠端桌面協議，允許使用者透過網路連接到遠端電腦，並在本地電腦上控制和操作遠端電腦的桌面。5800和5900通訊埠分別用於VNC協議的HTTP和非加密版本。 ,"1.nmap --script=vnc-info,vnc-title -p 5900 <IP>
2.msf6> use auxiliary/scanner/vnc/vnc_none_auth
3. msf > use auxiliary/scanner/vnc/vnc_login
項目3可將字典檔置換為簡易字典"
5985,Windows遠端管理（WinRM）的預設通訊埠，它基於WS-Management協議，允許系統管理員透過PowerShell或遠端命令工具，連接和管理遠端主機。,msf6 > use linux/misc/cve_2021_38647_omigod
"80,443",ASP.NET debugging enabled,nmap --script http-aspnet-debug --script-args http-aspnet-debug.path=/path <target> -p 443
6379,Redis服務的預設埠，負責客戶端與Redis伺服器之間的資料存取與快取操作。,redis-cli -h <IP> -p 6379
9080,一個開源的Java應用程式伺服器，提供穩定可靠的環境運行企業級應用。,msf> use scanner/http/jboss_vulnscan
,,
,,
,,
,,
,,
,,
,,
,,
HTTP TRACE / TRACK Methods Allowed,"HTTP TRACE/TRAC 通常用於 Debug，如何驗證系統是否真的有開啟 TRACE/TRACK 之功能，可使用telnet 網頁所在 ip 80 port：
","telnet <IP> 80
之後輸入
TRACE / HTTP/1.1
Host: localhost.localdomain
再連續按兩下 Enter
若系統有回應：
HTTP/1.1 200 OK
…
表示確實HTTP TRACE / TRACK Methods Allowed。
那該如何關閉呢？可在 Apache 之設定檔 httpd.conf 加上 TraceEnable off 即可。
vi /etc/httpd/conf/httpd.conf
加上字串：
TraceEnable off

接著重新啟動 Apache 即可.
service httpd restart"
,,
,,
,,
,,
,,
,,
,,
待確認,,
111,Portmapper 是一項用來將網路服務埠對應到 RPC（遠端程序呼叫）程式號碼的服務。,
2049,NFS（網路檔案系統）是一種客戶端/伺服器系統，讓使用者可以像存取本地目錄中的檔案一樣，無縫地存取網路上的檔案。,
21,文件傳輸協定 (FTP) 是伺服器和用戶端之間透過電腦網路傳輸檔案的標準協定。,
